season,division,conference,teamId,teamName,teamAbbrev,teamLogo,clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName_default,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamCommonName_default,ties,waiversSequence,wildcardSequence,winPctg,wins,placeName_fr,teamCommonName_fr
20242025,Atlantic,Eastern,0,Florida Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,x,E,4,13,5,5,2025-04-15,A,2,7,2,3,2,81,33,0.407407,218,251,3.098765,41,31,99,130,12,2,56,23,20,0,27,10,-3,25,22,5,1,9,3,2,0,4,8,26,14,11,30,4,Florida,0.604938,98,0.506173,41,0.45679,37,40,2,119,121,18,2,42,18,17,0,20,20242025,0,6,L,1,Panthers,0,22,0,0.580247,47,Floride,
20242025,Central,Western,0,Minnesota Wild,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,,W,9,13,2,7,2025-04-15,C,5,6,2,4,2,81,-12,-0.148148,237,225,2.777778,40,-14,122,108,17,2,44,20,15,0,21,10,-8,38,30,4,2,10,4,1,0,4,21,22,4,12,30,7,Minnesota,0.58642,95,0.506173,41,0.407407,33,41,2,115,117,13,5,51,21,18,0,23,20242025,3,3,W,1,Wild,0,20,1,0.54321,44,,
20242025,Atlantic,Eastern,0,Ottawa Senators,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,x,E,6,2,7,6,2025-04-15,A,3,2,4,4,2,80,8,0.1,225,233,2.9125,39,25,104,129,11,2,54,25,20,0,26,10,7,22,29,2,1,15,7,6,0,7,11,3,17,13,30,6,Ottawa,0.5875,94,0.5375,43,0.425,34,41,-17,121,104,19,4,40,18,14,0,18,20242025,2,1,W,2,Senators,0,21,1,0.55,44,,Sénateurs
20242025,Central,Western,0,St. Louis Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,,W,8,2,9,8,2025-04-15,C,4,1,6,5,2,81,16,0.197531,232,248,3.061728,40,19,109,128,14,3,49,21,17,0,23,10,9,25,34,2,1,15,7,5,0,7,16,5,12,14,30,8,St. Louis,0.580247,94,0.481481,39,0.382716,31,41,-3,123,120,16,5,45,18,14,0,20,20242025,2,4,OT,1,Blues,0,19,2,0.530864,43,,
20242025,Pacific,Western,0,Calgary Flames,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,,W,7,6,10,9,2025-04-15,P,4,3,4,4,2,80,-18,-0.225,233,215,2.6875,40,8,109,117,12,6,50,19,18,0,22,10,2,27,29,2,3,13,4,4,0,5,14,11,15,15,27,14,Calgary,0.575,92,0.4375,35,0.375,30,40,-26,124,98,15,8,42,16,12,0,17,20242025,2,4,W,2,Flames,0,18,3,0.4875,39,,
20242025,Pacific,Western,0,Vancouver Canucks,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,e,W,12,8,3,10,2025-04-15,P,6,5,1,5,2,81,-14,-0.17284,249,235,2.901235,40,-13,124,111,15,8,42,17,16,0,17,10,2,32,34,3,2,12,5,3,0,5,26,15,5,16,29,14,Vancouver,0.555556,90,0.432099,35,0.345679,28,41,-1,125,124,14,6,48,18,12,0,21,20242025,2,3,W,1,Canucks,0,16,4,0.469136,38,,
20242025,Metropolitan,Eastern,0,New Jersey Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,x,E,13,12,3,7,2025-04-15,M,5,6,2,3,2,80,22,0.275,213,235,2.9375,40,8,108,116,16,5,43,18,17,0,19,10,-4,30,26,5,1,9,3,3,0,4,24,25,9,17,32,7,New Jersey,0.55625,89,0.4875,39,0.45,36,40,14,105,119,16,2,46,21,19,0,22,20242025,2,2,L,3,Devils,0,17,0,0.5125,41,,
20242025,Central,Western,0,Utah Hockey Club,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,e,W,11,4,8,11,2025-04-15,C,6,2,5,6,2,81,-5,-0.061728,245,240,2.962963,41,-1,119,118,15,8,44,18,15,0,18,10,8,29,37,2,2,14,6,6,0,6,23,7,11,18,30,13,Utah,0.549383,89,0.45679,37,0.37037,30,40,-4,126,122,15,5,45,19,15,0,20,20242025,4,1,W,2,Utah Hockey Club,0,15,5,0.469136,38,,Club de hockey de l'Utah
20242025,Atlantic,Eastern,0,Montréal Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,,E,8,4,9,8,2025-04-15,A,5,4,5,5,2,81,-22,-0.271605,263,241,2.975309,40,-3,124,121,12,6,50,21,15,0,22,10,3,23,26,2,2,14,6,5,0,6,15,9,19,19,31,11,Montréal,0.549383,89,0.45679,37,0.358025,29,41,-19,139,120,19,5,39,16,14,0,17,20242025,4,2,OT,2,Canadiens,0,14,2,0.481481,39,,
20242025,Metropolitan,Eastern,0,Columbus Blue Jackets,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,,E,5,6,14,9,2025-04-15,M,3,1,8,4,2,80,-3,-0.0375,267,264,3.3,40,36,123,159,10,5,55,21,19,0,25,10,5,34,39,4,0,12,5,5,0,6,9,13,27,20,33,9,Columbus,0.53125,85,0.4,32,0.35,28,40,-39,144,105,23,4,30,11,9,0,13,20242025,1,6,W,4,Blue Jackets,0,13,3,0.475,38,,
20242025,Atlantic,Eastern,0,Detroit Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,e,E,10,8,11,10,2025-04-15,A,7,6,6,6,2,80,-23,-0.2875,253,230,2.875,41,3,125,128,16,3,47,22,19,0,22,10,-4,31,27,4,1,11,5,4,0,5,18,16,22,21,35,7,Detroit,0.51875,83,0.4375,35,0.3625,29,39,-26,128,102,19,4,36,13,10,0,16,20242025,0,3,W,2,Red Wings,0,12,4,0.475,38,,
20242025,Metropolitan,Eastern,0,New York Rangers,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,e,E,16,11,4,11,2025-04-15,M,8,5,3,5,2,81,-3,-0.037037,255,252,3.111111,40,-12,127,115,19,3,39,17,15,0,18,10,-3,42,39,5,1,9,4,3,0,4,30,24,13,22,36,7,NY Rangers,0.512346,83,0.45679,37,0.419753,34,41,9,128,137,17,4,44,20,19,0,20,20242025,0,1,W,1,Rangers,0,10,5,0.469136,38,,
